type;exec;size;slave;master-slave;slave-master;latency
portal;1;4096;0;130;99;114.50
portal;1;4096;1;132;102;117.00
portal;1;4096;2;123;97;110.00
portal;1;4096;3;120;99;109.50
portal;1;4096;4;113;94;103.50
portal;1;4096;5;119;103;111.00
portal;1;4096;6;118;99;108.50
portal;1;4096;7;122;98;110.00
portal;1;4096;8;117;96;106.50
portal;1;4096;9;121;97;109.00
portal;1;4096;10;119;96;107.50
portal;1;4096;11;123;105;114.00
portal;1;4096;12;113;93;103.00
portal;1;4096;13;125;99;112.00
portal;1;4096;14;120;99;109.50
portal;1;4096;15;120;104;112.00
portal;2;4096;0;110;98;104.00
portal;2;4096;1;120;95;107.50
portal;2;4096;2;118;97;107.50
portal;2;4096;3;120;105;112.50
portal;2;4096;4;113;94;103.50
portal;2;4096;5;120;96;108.00
portal;2;4096;6;120;102;111.00
portal;2;4096;7;120;103;111.50
portal;2;4096;8;112;93;102.50
portal;2;4096;9;116;100;108.00
portal;2;4096;10;125;103;114.00
portal;2;4096;11;119;96;107.50
portal;2;4096;12;113;95;104.00
portal;2;4096;13;118;99;108.50
portal;2;4096;14;121;99;110.00
portal;2;4096;15;125;97;111.00
portal;3;4096;0;114;98;106.00
portal;3;4096;1;119;99;109.00
portal;3;4096;2;121;103;112.00
portal;3;4096;3;118;98;108.00
portal;3;4096;4;113;93;103.00
portal;3;4096;5;118;99;108.50
portal;3;4096;6;120;98;109.00
portal;3;4096;7;119;100;109.50
portal;3;4096;8;112;93;102.50
portal;3;4096;9;118;101;109.50
portal;3;4096;10;119;98;108.50
portal;3;4096;11;120;99;109.50
portal;3;4096;12;119;97;108.00
portal;3;4096;13;120;99;109.50
portal;3;4096;14;118;98;108.00
portal;3;4096;15;120;105;112.50
portal;4;4096;0;113;93;103.00
portal;4;4096;1;125;99;112.00
portal;4;4096;2;120;97;108.50
portal;4;4096;3;120;97;108.50
portal;4;4096;4;112;94;103.00
portal;4;4096;5;116;97;106.50
portal;4;4096;6;114;104;109.00
portal;4;4096;7;117;98;107.50
portal;4;4096;8;116;93;104.50
portal;4;4096;9;123;97;110.00
portal;4;4096;10;122;97;109.50
portal;4;4096;11;118;98;108.00
portal;4;4096;12;112;92;102.00
portal;4;4096;13;117;98;107.50
portal;4;4096;14;124;102;113.00
portal;4;4096;15;120;98;109.00
portal;5;4096;0;117;92;104.50
portal;5;4096;1;120;97;108.50
portal;5;4096;2;121;102;111.50
portal;5;4096;3;120;96;108.00
portal;5;4096;4;113;97;105.00
portal;5;4096;5;119;97;108.00
portal;5;4096;6;119;100;109.50
portal;5;4096;7;120;97;108.50
portal;5;4096;8;113;104;108.50
portal;5;4096;9;120;96;108.00
portal;5;4096;10;119;98;108.50
portal;5;4096;11;126;98;112.00
portal;5;4096;12;111;94;102.50
portal;5;4096;13;119;99;109.00
portal;5;4096;14;120;98;109.00
portal;5;4096;15;118;98;108.00
portal;6;4096;0;120;94;107.00
portal;6;4096;1;120;101;110.50
portal;6;4096;2;122;99;110.50
portal;6;4096;3;121;98;109.50
portal;6;4096;4;111;94;102.50
portal;6;4096;5;115;102;108.50
portal;6;4096;6;119;105;112.00
portal;6;4096;7;122;98;110.00
portal;6;4096;8;113;98;105.50
portal;6;4096;9;119;104;111.50
portal;6;4096;10;120;100;110.00
portal;6;4096;11;123;97;110.00
portal;6;4096;12;113;95;104.00
portal;6;4096;13;125;100;112.50
portal;6;4096;14;117;104;110.50
portal;6;4096;15;119;105;112.00
portal;7;4096;0;113;98;105.50
portal;7;4096;1;121;98;109.50
portal;7;4096;2;130;99;114.50
portal;7;4096;3;120;103;111.50
portal;7;4096;4;114;92;103.00
portal;7;4096;5;119;99;109.00
portal;7;4096;6;121;99;110.00
portal;7;4096;7;121;91;106.00
portal;7;4096;8;114;99;106.50
portal;7;4096;9;120;99;109.50
portal;7;4096;10;116;96;106.00
portal;7;4096;11;120;98;109.00
portal;7;4096;12;113;97;105.00
portal;7;4096;13;118;104;111.00
portal;7;4096;14;122;103;112.50
portal;7;4096;15;121;98;109.50
portal;8;4096;0;114;91;102.50
portal;8;4096;1;120;99;109.50
portal;8;4096;2;117;97;107.00
portal;8;4096;3;121;103;112.00
portal;8;4096;4;121;95;108.00
portal;8;4096;5;121;100;110.50
portal;8;4096;6;123;104;113.50
portal;8;4096;7;121;99;110.00
portal;8;4096;8;113;93;103.00
portal;8;4096;9;117;108;112.50
