type;exec;size;slave;round_trip_time;latency
portal;1;4096;0;155;77.50
portal;1;4096;1;149;74.50
portal;1;4096;2;143;71.50
portal;1;4096;3;148;74.00
portal;1;4096;4;136;68.00
portal;1;4096;5;140;70.00
portal;1;4096;6;143;71.50
portal;1;4096;7;141;70.50
portal;1;4096;8;136;68.00
portal;1;4096;9;137;68.50
portal;1;4096;10;143;71.50
portal;1;4096;11;144;72.00
portal;1;4096;12;134;67.00
portal;1;4096;13;139;69.50
portal;1;4096;14;139;69.50
portal;1;4096;15;137;68.50
portal;2;4096;0;127;63.50
portal;2;4096;1;138;69.00
portal;2;4096;2;140;70.00
portal;2;4096;3;138;69.00
portal;2;4096;4;133;66.50
portal;2;4096;5;141;70.50
portal;2;4096;6;142;71.00
portal;2;4096;7;136;68.00
portal;2;4096;8;127;63.50
portal;2;4096;9;148;74.00
portal;2;4096;10;140;70.00
portal;2;4096;11;140;70.00
portal;2;4096;12;126;63.00
portal;2;4096;13;143;71.50
portal;2;4096;14;140;70.00
portal;2;4096;15;143;71.50
portal;3;4096;0;137;68.50
portal;3;4096;1;139;69.50
portal;3;4096;2;138;69.00
portal;3;4096;3;139;69.50
portal;3;4096;4;126;63.00
portal;3;4096;5;140;70.00
portal;3;4096;6;140;70.00
portal;3;4096;7;144;72.00
portal;3;4096;8;135;67.50
portal;3;4096;9;134;67.00
portal;3;4096;10;136;68.00
portal;3;4096;11;139;69.50
portal;3;4096;12;127;63.50
portal;3;4096;13;140;70.00
portal;3;4096;14;139;69.50
portal;3;4096;15;139;69.50
portal;4;4096;0;131;65.50
portal;4;4096;1;144;72.00
portal;4;4096;2;148;74.00
portal;4;4096;3;142;71.00
portal;4;4096;4;131;65.50
portal;4;4096;5;138;69.00
portal;4;4096;6;148;74.00
portal;4;4096;7;143;71.50
portal;4;4096;8;134;67.00
portal;4;4096;9;135;67.50
portal;4;4096;10;141;70.50
portal;4;4096;11;140;70.00
portal;4;4096;12;131;65.50
portal;4;4096;13;144;72.00
portal;4;4096;14;141;70.50
portal;4;4096;15;140;70.00
portal;5;4096;0;131;65.50
portal;5;4096;1;139;69.50
portal;5;4096;2;141;70.50
portal;5;4096;3;141;70.50
portal;5;4096;4;139;69.50
portal;5;4096;5;137;68.50
portal;5;4096;6;143;71.50
portal;5;4096;7;138;69.00
portal;5;4096;8;137;68.50
portal;5;4096;9;136;68.00
portal;5;4096;10;142;71.00
portal;5;4096;11;142;71.00
portal;5;4096;12;129;64.50
portal;5;4096;13;140;70.00
portal;5;4096;14;138;69.00
portal;5;4096;15;145;72.50
portal;6;4096;0;129;64.50
portal;6;4096;1;135;67.50
portal;6;4096;2;137;68.50
portal;6;4096;3;132;66.00
portal;6;4096;4;133;66.50
portal;6;4096;5;133;66.50
portal;6;4096;6;134;67.00
portal;6;4096;7;142;71.00
portal;6;4096;8;130;65.00
portal;6;4096;9;136;68.00
portal;6;4096;10;145;72.50
portal;6;4096;11;142;71.00
portal;6;4096;12;133;66.50
portal;6;4096;13;141;70.50
portal;6;4096;14;134;67.00
portal;6;4096;15;140;70.00
portal;7;4096;0;130;65.00
portal;7;4096;1;136;68.00
portal;7;4096;2;135;67.50
portal;7;4096;3;134;67.00
portal;7;4096;4;130;65.00
portal;7;4096;5;145;72.50
portal;7;4096;6;137;68.50
portal;7;4096;7;142;71.00
portal;7;4096;8;130;65.00
portal;7;4096;9;133;66.50
portal;7;4096;10;140;70.00
portal;7;4096;11;136;68.00
portal;7;4096;12;133;66.50
portal;7;4096;13;139;69.50
portal;7;4096;14;140;70.00
portal;7;4096;15;139;69.50
portal;8;4096;0;135;67.50
portal;8;4096;1;140;70.00
portal;8;4096;2;141;70.50
portal;8;4096;3;142;71.00
portal;8;4096;4;132;66.00
portal;8;4096;5;136;68.00
portal;8;4096;6;139;69.50
portal;8;4096;7;140;70.00
portal;8;4096;8;129;64.50
portal;8;4096;9;140;70.00
portal;8;4096;10;139;69.50
portal;8;4096;11;145;72.50
portal;8;4096;12;129;64.50
portal;8;4096;13;138;69.00
portal;8;4096;14;139;69.50
portal;8;4096;15;135;67.50
portal;9;4096;0;128;64.00
portal;9;4096;1;136;68.00
portal;9;4096;2;147;73.50
portal;9;4096;3;137;68.50
portal;9;4096;4;136;68.00
portal;9;4096;5;137;68.50
portal;9;4096;6;137;68.50
portal;9;4096;7;138;69.00
portal;9;4096;8;127;63.50
portal;9;4096;9;140;70.00
portal;9;4096;10;138;69.00
portal;9;4096;11;144;72.00
portal;9;4096;12;131;65.50
portal;9;4096;13;144;72.00
portal;9;4096;14;136;68.00
portal;9;4096;15;138;69.00
portal;10;4096;0;129;64.50
portal;10;4096;1;140;70.00
portal;10;4096;2;140;70.00
portal;10;4096;3;143;71.50
portal;10;4096;4;136;68.00
portal;10;4096;5;139;69.50
portal;10;4096;6;137;68.50
portal;10;4096;7;142;71.00
portal;10;4096;8;134;67.00
portal;10;4096;9;138;69.00
portal;10;4096;10;141;70.50
portal;10;4096;11;140;70.00
